# GrowSpot species light levels — snapshot 2026-09-05 — CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
common_name,scientific_name,light_requirement
Silver Stripe Philodendron,Philodendron hederaceum 'Silver Stripe',medium
Philodendron Mamei,Philodendron mamei,medium
Mayo's Philodendron,Philodendron mayoi,medium
Philodendron Melanochrysum,Philodendron melanochrysum,medium
Pastazanum Philodendron,Philodendron pastazanum,medium
Philodendron Pedatum,Philodendron pedatum,medium
Florida Ghost Philodendron,Philodendron pedatum 'Florida Ghost',medium
Plowmanii Philodendron,Philodendron plowmanii,medium
Blushing Philodendron,Philodendron rugosum,medium
Spear-leaf Philodendron Trailing,Philodendron scandens,medium
Jungle Boogie Philodendron,Philodendron serratum,high
Philodendron Squamiferum,Philodendron squamiferum,medium
Rojo Congo,Philodendron tatei,high
Tortum Philodendron,Philodendron tortum,medium
Philodendron Selloum,Philodendron undulatum,medium
Philodendron Verrucosum,Philodendron verrucosum,medium
Lacy Tree Philodendron,Philodendron warszewiczii,medium
Blue Star Fern,Phlebodium aureum,medium
Hare's Foot Fern,Phlebodium aureum 'Mandaianum',medium
Virginia Polypody,Phlebodium pseudoaureum,medium
Canary Island Date Palm,Phoenix canariensis,high
Date Palm,Phoenix dactylifera,high
Dwarf Date Palm,Phoenix loureiroi,high
Pygmy Date Palm,Phoenix roebelenii,medium
Rattlesnake Orchid,Pholidota imbricata,medium
Bessera's Slipper Orchid,Phragmipedium besseae,medium
Mandarin Slipper Orchid,Phragmipedium caudatum,medium
Long-leaved Slipper Orchid,Phragmipedium longifolium,medium
Pearce's Slipper Orchid,Phragmipedium pearcei,medium
Aluminum Plant,Pilea cadierei,medium
Aluminum Plant (Variegated Pilea),Pilea cadierei 'Minima',medium
Aluminum Vine Pilea,Pilea depressa,medium
Silver Sprinkles Pilea,Pilea glauca,medium
Aluminum Plant (Brake Fern relative),Pilea grandifolia,medium
Friendship Plant,Pilea involucrata,medium
Dark Mystery Pilea,Pilea involucrata 'Moon Valley',medium
Norfolk Friendship Plant,Pilea involucrata 'Norfolk',medium
Artillery Plant,Pilea microphylla,medium
Moon Valley Pilea,Pilea mollis,medium
Creeping Charlie Pilea,Pilea nummulariifolia,medium
Chinese money plant,Pilea peperomioides,medium
Mojito Chinese Money Plant,Pilea peperomioides 'Mojito',medium
Sugar Pilea,Pilea peperomioides 'Sugar',medium
White Splash Pilea,Pilea peperomioides 'White Splash',medium
Pilea Norfolk,Pilea spruceana,medium
Silver Tree Pilea,Pilea spruceana 'Silver Tree',medium
Blue Columnar Cactus,Pilosocereus pachycladus,very_high
Agnata butterwort,Pinguicula agnata,high
Cyclosecta butterwort,Pinguicula cyclosecta,high
Emarginate butterwort,Pinguicula emarginata,high
Esseriana butterwort,Pinguicula esseriana,high
Cleft-lipped butterwort,Pinguicula gigantea,high
Large-flowered Butterwort,Pinguicula grandiflora,high
Albanian butterwort,Pinguicula hirtiflora,high
Tina butterwort,Pinguicula laueana,high
Mexican butterwort,Pinguicula moranensis,high
Primrose butterwort,Pinguicula primuliflora,high
Common butterwort,Pinguicula vulgaris,high
Mugo pine,Pinus mugo,very_high
Japanese white pine,Pinus parviflora,high
Flaming Pitcairnia,Pitcairnia flammea,medium
Everfresh tree,Pithecellobium confertum,high
Staghorn Fern,Platycerium bifurcatum,medium
Elephant Ear Staghorn,Platycerium elephantotis,medium
Regal Staghorn Fern,Platycerium grande,medium
Hill's Staghorn Fern,Platycerium hillii,medium
Elkhorn Fern,Platycerium superbum,medium
Silver Staghorn Fern,Platycerium veitchii,high
Cuban Oregano,Plectranthus amboinicus,high
Swedish Ivy,Plectranthus verticillatus,medium
Indian Crocus,Pleione bulbocodioides,medium
Windowsill Orchid,Pleione formosana,medium
Royal flush split rock,Pleiospilos bolusii,very_high
Cleft stone,Pleiospilos compactus,very_high
Split rock,Pleiospilos nelii,very_high
False Aralia,Plerandra elegantissima,medium
Miniature pleurothallid orchid,Pleurothallis grobyi,medium
Cape Leadwort,Plumbago auriculata,high
Jasmine Tobacco Plumeria,Plumeria rubra,very_high
Buddhist pine / Yew plum pine,Podocarpus macrophyllus,high
Tuberose,Polianthes tuberosa,high
Coral bells aralia,Polyscias balfouriana,medium
Fern-leaf aralia,Polyscias filicifolia,medium
Aralia Ming,Polyscias fruticosa,medium
Variegated Ming Aralia,Polyscias fruticosa 'Marginata',high
Geranium-leaf aralia,Polyscias guilfoylei,medium
Aralia Fabian,Polyscias scutellaria,medium
Variegated Balfour Aralia,Polyscias scutellaria 'Marginata',high
Downy Polystachya,Polystachya pubescens,high
Korean Rock Fern,Polystichum tsussimense,low
Brazilian Fireworks,Porphyrocoma pohliana,medium
Petropolis Bromeliad,Portea petropolitana,high
Moss Rose / Portulaca,Portulaca grandiflora,very_high
Elephant Bush / Dwarf Jade,Portulacaria afra,high
Auricula,Primula auricula,high
Fairy primrose,Primula malacoides,medium
Florist's Primrose,Primula obconica,medium
Common primrose,Primula vulgaris,medium
Carrion-flower Orchid,Promenaea stapelioides,medium
Cockleshell Orchid,Prosthechea cochleata,medium
Sour Cherry,Prunus cerasus,very_high
Patio Peach,Prunus persica,very_high
False Pineapple,Pseudananas sagenarius,high
Black-leaved Pseuderanthemum,Pseuderanthemum carruthersii,medium
Shooting star,Pseuderanthemum laxiflorum,medium
Variegated Pseuderanthemum,Pseuderanthemum reticulatum,medium
Butterfly Orchid,Psychopsis papilio,medium
Cretan Brake Fern,Pteris cretica,medium
Variegated Table Fern,Pteris cretica 'Albolineata',medium
Silver Lace Fern,Pteris ensiformis,medium
Spider Brake Fern,Pteris multifida,medium
Brake Fern (Silver),Pteris quadriaurita,medium
Pteris Table Fern,Pteris tremula,medium
Chinese Ladder Brake,Pteris vittata,medium
Pomegranate,Punica granatum,very_high
Dwarf Pomegranate,Punica granatum 'Nana',very_high
Sapphire Tower,Puya alpestris,very_high
Tongue Fern,Pyrrosia lingua,medium
Tortoise Quesnelia,Quesnelia testudo,high
China Doll Plant,Radermachera sinica,high
Variegated China Doll,Radermachera sinica 'Variegata',high
Persian buttercup,Ranunculus asiaticus,high
Travelers Palm,Ravenala madagascariensis,high
Majesty Palm,Ravenea rivularis,medium
Sand Crown Cactus,Rebutia arenacea,very_high
Orange Crown Cactus,Rebutia fiebrigii,very_high
Fire Crown Cactus,Rebutia heliosa,very_high
Yellow Crown Cactus,Rebutia marsoneri,very_high
Crimson Crown Cactus,Rebutia minuscula,very_high
Lavender Crown Cactus,Rebutia perplexa,very_high
Pygmy Crown Cactus,Rebutia pygmaea,very_high
Scarlet Renanthera,Renanthera coccinea,very_high
Antenna Orchid,Restrepia antennifera,low
Shingling Rhaphidophora,Rhaphidophora cryptantha,medium
Creeping Philodendron,Rhaphidophora decursiva,medium
Shingle Plant,Rhaphidophora hayi,medium
Korthals rhaphidophora,Rhaphidophora korthalsii,medium
Mini Monstera,Rhaphidophora tetrasperma,medium
Lady Palm,Rhapis excelsa,medium
Rhapis Slender Lady Palm,Rhapis humilis,medium
Finger Lady Palm,Rhapis multifida,medium
Mistletoe Cactus,Rhipsalis baccifera,medium
Coral Cactus (Rhipsalis),Rhipsalis cereuscula,medium
Florist's Azalea,Rhododendron simsii,medium
Digby's Beaked Laelia,Rhyncholaelia digbyana,high
Foxtail Orchid,Rhynchostylis gigantea,high
Clown Orchid,Rossioglossum grande,medium
Coral plant,Russelia equisetiformis,high
Chinese bird plum / Bird plum,Sageretia thea,high
Usambara violet,Saintpaulia confusa,medium
Trailing African violet,Saintpaulia grotei,medium
African violet,Saintpaulia ionantha,high
Miniature African violet,Saintpaulia pusilla,medium
Shume violet,Saintpaulia shumensis,medium
Teita violet,Saintpaulia teitensis,medium
Pineapple Sage,Salvia elegans,very_high
Common Sage,Salvia officinalis,very_high
Rosemary,Salvia rosmarinus,very_high
Scarlet sage,Salvia splendens,high
Sanchezia,Sanchezia speciosa,medium
Mikado Snake Plant,Sansevieria bacularis,medium
Blue Sansevieria,Sansevieria ehrenbergii,high
Star Sansevieria,Sansevieria kirkii,medium
Kenya Hyacinth / Mother of Thousands Vine,Sansevieria parva,medium
Stucky's Sansevieria,Sansevieria stuckyi,high
Bower vine / orchid vine,Saritaea magnifica,high
Pale trumpet pitcher,Sarracenia alata,very_high
Yellow trumpet pitcher,Sarracenia flava,very_high
Mountain Sweet Pitcher Plant,Sarracenia jonesii,very_high
White trumpet pitcher,Sarracenia leucophylla,very_high
Hooded pitcher plant (Sarracenia),Sarracenia minor,very_high
Mountain trumpet pitcher,Sarracenia oreophila,very_high
Parrot pitcher plant,Sarracenia psittacina,very_high
Purple pitcher plant,Sarracenia purpurea,very_high
Sweet pitcher plant,Sarracenia rubra,very_high
Summer Savory,Satureja hortensis,very_high
Winter Savory,Satureja montana,very_high
Strawberry Begonia,Saxifraga stolonifera,medium
Fan flower,Scaevola aemula,very_high
Schefflera Amate,Schefflera amate,medium
Dwarf umbrella tree,Schefflera arboricola,medium
Delavay's Schefflera,Schefflera delavayi,medium
Pate Schefflera,Schefflera digitata,medium
Tupidanthus,Schefflera pueckleri,medium
Taiwan Schefflera,Schefflera taiwaniana,high
Christmas Cactus,Schlumbergera bridgesii,medium
Thanksgiving Cactus,Schlumbergera truncata,medium
Bog star orchid / Hawaiian dwarf,Schoenorchis fragrans,high
Indian Pothos,Scindapsus officinalis,medium
Satin pothos,Scindapsus pictus,medium
Satin Pothos Argyraeus,Scindapsus pictus 'Argyraeus',medium
Scindapsus Pictus 'Exotica',Scindapsus pictus 'Exotica',medium
Jade Satin Pothos,Scindapsus pictus 'Jade Satin',medium
Silvery Ann Scindapsus,Scindapsus pictus 'Silvery Ann',medium
Trebie Satin Pothos,Scindapsus pictus 'Trebie',medium
Silver Pothos Treubii,Scindapsus treubii,medium
Dark Form Scindapsus (Black Scindapsus),Scindapsus treubii 'Dark Form',medium
Scindapsus Moonlight,Scindapsus treubii 'Moonlight',medium
Nago Orchid,Sedirea japonica,medium
Autumn Joy Stonecrop,Sedum 'Autumn Joy',very_high
Gold Moss Stonecrop,Sedum acre,very_high
Coppertone Stonecrop (Sedum Nussbaumerianum),Sedum adolphi,high
White Stonecrop,Sedum album,high
Sausage Sedum,Sedum allantoides,very_high
Donkey's Tail / Baby Burro's Tail,Sedum burrito,very_high
Tear Drop Sedum,Sedum clavatum,very_high
Lesser Mexican Stonecrop,Sedum confusum,high
Corsican Stonecrop,Sedum dasyphyllum,high
Tree Sedum,Sedum frutescens,very_high
Little Missouri Sedum,Sedum furfuraceum,very_high
Hinton's Sedum,Sedum hintonii,very_high
Spanish Stonecrop,Sedum hispanicum,very_high
Japanese Stonecrop,Sedum japonicum,high
Carpet Sedum,Sedum lineare,high
Lemon Coral Sedum,Sedum mexicanum 'Lemon Coral',very_high
Burro's Tail / Donkey's Tail,Sedum morganianum,high
Baby Burro's Tail,Sedum morganianum 'Burrito',high
Coppertone Stonecrop,Sedum nussbaumerianum,very_high
Jelly Beans,Sedum pachyphyllum,very_high
Palmer's Sedum,Sedum palmeri,high
Jelly Bean Plant,Sedum rubrotinctum,very_high
Pink Jelly Bean,Sedum rubrotinctum 'Aurora',very_high
Angelina Stonecrop,Sedum rupestre 'Angelina',very_high
October Daphne,Sedum sieboldii,high
Brilliant Showy Stonecrop,Sedum spectabile 'Brilliant',very_high
Dragon's Blood Stonecrop,Sedum spurium 'Dragon's Blood',very_high
Coral Beads,Sedum stahlii,very_high
Fragrant Sedum,Sedum suaveolens,very_high
Silver Sedum,Sedum treleasei,very_high
Versadense Sedum,Sedum versadense,very_high
Ruby red spikemoss,Selaginella erythropus,low
Spreading clubmoss (Krauss' spikemoss),Selaginella kraussiana,low
Golden clubmoss / Gold Tips spikemoss,Selaginella kraussiana 'Aurea',low
Frosty Fern spikemoss,Selaginella kraussiana 'Variegatus',low
Resurrection plant (Rose of Jericho),Selaginella lepidophylla,high
Moss fern / club spikemoss,Selaginella martensii,low
Jori spikemoss,Selaginella moellendorffii,low
Spikemoss,Selaginella tamariscina,low
Peacock spikemoss,Selaginella uncinata,low
Trailing spikemoss,Selaginella willdenowii,medium
Fishbone cactus,Selenicereus anthonyanus,medium
Queen of the night,Selenicereus grandiflorus,high
Yellow dragon fruit,Selenicereus megalanthus,high
Moon cactus / night-blooming cereus,Selenicereus pteranthus,high
Indoor Dragon Fruit,Selenicereus undatus,high
Cobweb houseleek,Sempervivum arachnoideum,very_high
Atlas Houseleek,Sempervivum atlanticum,very_high
Hen-and-chickens houseleek,Sempervivum calcareum,very_high
Cantabrian Houseleek,Sempervivum cantabricum,very_high
Teneriffe Houseleek,Sempervivum ciliosum,very_high
Dolomites Houseleek,Sempervivum dolomiticum,very_high
Hen and Chicks,Sempervivum globiferum,very_high
Large-flowered Houseleek,Sempervivum grandiflorum,very_high
Heuffel's houseleek,Sempervivum heuffelii,very_high
Kosanin's Houseleek,Sempervivum kosaninii,very_high
Marbled Houseleek,Sempervivum marmoreum,very_high
Mountain houseleek,Sempervivum montanum,very_high
Pitton's Houseleek,Sempervivum pittonii,very_high
Ruthenian Houseleek,Sempervivum ruthenicum,very_high
Hens-and-chicks,Sempervivum tectorum,very_high
Wulfen's Houseleek,Sempervivum wulfenii,very_high
Wax Ivy / Natal Ivy,Senecio angulatus,very_high
Silver fingers senecio,Senecio antandroi,very_high
Candle Plant / Trailing Jade,Senecio articulatus,high
Vertical leaf senecio,Senecio crassissimus,high
Cocoon plant,Senecio haworthii,very_high
String of Beads / Bead Vine,Senecio herreianus,high
Trailing jade senecio,Senecio jacobsenii,high
Spear head senecio,Senecio kleiniiformis,high
Vining Senecio / Wax Ivy,Senecio macroglossus,high
String of pearls,Senecio rowleyanus,high
Pickle plant,Senecio stapeliiformis,high
Snow rose / Tree of a thousand stars,Serissa japonica,high
Clustered Sinningia,Sinningia aggregata,high
Bearded Sinningia,Sinningia barbata,medium
Woolly Sinningia,Sinningia bullata,medium
Brazilian edelweiss white,Sinningia canescens,medium
Cardinal flower gloxinia,Sinningia cardinalis,medium
Shapely Sinningia,Sinningia eumorpha,medium
Brazilian edelweiss,Sinningia leucotricha,high
Large-footed Sinningia,Sinningia macropoda,medium
Miniature Sinningia,Sinningia pusilla,medium
Florist's Gloxinia,Sinningia speciosa,medium
Hardy white gloxinia,Sinningia tubiflora,high
Indian sinocrassula,Sinocrassula indica,high
Yunnan sinocrassula,Sinocrassula yunnanensis,high
Large-flowered Sobralia,Sobralia macrantha,high
Chalice vine / cup of gold,Solandra maxima,high
Baby's Tears,Soleirolia soleirolii,medium
Golden baby's tears,Soleirolia soleirolii 'Aurea',medium
Variegated baby's tears,Soleirolia soleirolii 'Variegata',medium
Frosted Sonerila,Sonerila margaritacea,medium
Scarlet Sophronitis,Sophronitis coccinea,medium
Harlequin flower,Sparaxis tricolor,high
Variegated Peace Lily,Spathiphyllum,medium
Mauna Loa Peace Lily,Spathiphyllum 'Mauna Loa',medium
Piccolino Mini Peace Lily,Spathiphyllum 'Piccolino',medium
Sensation Peace Lily,Spathiphyllum 'Sensation',medium
Spathiphyllum blandum,Spathiphyllum blandum,medium
Canna-Leaf Peace Lily,Spathiphyllum cannifolium,medium
Giant Peace Lily,Spathiphyllum cochlearispathum,low
Snowflower Peace Lily,Spathiphyllum floribundum,low
Dwarf Peace Lily,Spathiphyllum patinii,low
Peace lily,Spathiphyllum wallisii,low
Domino Peace Lily (Variegated),Spathiphyllum wallisii 'Domino',low
Philippine Ground Orchid,Spathoglottis plicata,high
Tiger Stanhopea,Stanhopea tigrina,medium
Silvery Stelis,Stelis argentata,low
Wave cactus,Stenocactus crispatus,very_high
Brain cactus,Stenocactus multicostatus,very_high
Lloyd's stenocactus,Stenocactus phyllacanthus,very_high
Gray Ghost Organ Pipe Cactus,Stenocereus pruinosus,very_high
Stephania erecta,Stephania pierrei,high
Cork Stephania,Stephania suberosa,high
Madagascar Jasmine,Stephanotis floribunda,high
Autumn Daffodil,Sternbergia lutea,high
Giant White Bird of Paradise,Strelitzia nicolai,high
Bird of Paradise,Strelitzia reginae,high
Nodding violet,Streptocarpus caulescens,medium
Red nodding bells,Streptocarpus dunnii,medium
Garden's Cape primrose,Streptocarpus gardenii,medium
Cape Primrose Bird Streptocarpus,Streptocarpus johannis,medium
Kentani Cape primrose,Streptocarpus kentaniensis,medium
Many-flowered Cape primrose,Streptocarpus polyanthus,medium
Primrose-leaf Cape primrose,Streptocarpus primulifolius,medium
Cape Primrose,Streptocarpus rexii,medium
Persian Cyclamen Streptocarpella,Streptocarpus saxorum,medium
Wendland's Cape primrose,Streptocarpus wendlandii,medium
Persian Shield,Strobilanthes dyerianus,high
Jacquin's Stromanthe,Stromanthe jacquinii,medium
Triostar Stromanthe,Stromanthe sanguinea 'Triostar',medium
Common Stromanthe,Stromanthe stromanthoides,medium
Stromanthe Magic Star,Stromanthe thalia,medium
Triggerplant,Stylidium debile,high
Crinite sulcorebutia,Sulcorebutia canigueralii,very_high
Rauch's sulcorebutia,Sulcorebutia rauschii,very_high
Steinbach's sulcorebutia,Sulcorebutia steinbachii,very_high
Million bells trailing,Sutera grandiflora,high
Syngonium Auritum (Five Fingers),Syngonium auritum,medium
Chiapas Syngonium,Syngonium chiapense,medium
Syngonium Erythrophyllum,Syngonium erythrophyllum,medium
Big Leaf Syngonium,Syngonium macrophyllum,medium
Arrowhead plant,Syngonium podophyllum,medium
Variegated Arrowhead Plant,Syngonium podophyllum 'Albo Variegata',medium
Albo Variegated Arrowhead Vine,Syngonium podophyllum 'Albo Variegatum',medium
Berry Allusion arrowhead vine,Syngonium podophyllum 'Berry Allusion',medium
Confetti Syngonium,Syngonium podophyllum 'Confetti',medium
Cream Allusion Syngonium,Syngonium podophyllum 'Cream Allusion',medium
Golden Allusion arrowhead vine,Syngonium podophyllum 'Gold Allusion',medium
Ice Frost Syngonium,Syngonium podophyllum 'Ice Frost',medium
Maria (Bronze) arrowhead vine,Syngonium podophyllum 'Maria',medium
Neon Robusta Syngonium,Syngonium podophyllum 'Neon Robusta',medium
Panda Syngonium,Syngonium podophyllum 'Panda',medium
Pink Allusion Syngonium,Syngonium podophyllum 'Pink Allusion',medium
Pink Splash arrowhead vine,Syngonium podophyllum 'Pink Splash',medium
Pixie dwarf arrowhead vine,Syngonium podophyllum 'Pixie',medium
Trileaf Wonder Syngonium,Syngonium podophyllum 'Trileaf Wonder',medium
White Butterfly Syngonium,Syngonium podophyllum 'White Butterfly',medium
White Christmas Syngonium,Syngonium podophyllum 'White Christmas',medium
Syngonium Rayii,Syngonium rayii,medium
Syngonium Wendlandii,Syngonium wendlandii,medium
Miracle Fruit,Synsepalum dulcificum,high
Brush cherry / Eugenia,Syzygium paniculatum,high
Crepe jasmine,Tabernaemontana divaricata,high
African marigold,Tagetes erecta,high
Irish Lace,Tagetes filifolia,high
Mexican Tarragon,Tagetes lucida,high
Marigold (French),Tagetes patula,very_high
Signet marigold,Tagetes tenuifolia,high
Cylindrical Snowball Cactus,Tephrocactus articulatus,very_high
Split-leaf Philodendron,Thaumatophyllum bipinnatifidum,medium
Evans Philodendron,Thaumatophyllum x evansii,high
Xanadu Philodendron,Thaumatophyllum xanadu,medium
Lloyd's mariposa cactus,Thelocactus bicolor,very_high
Large-flowered thelocactus,Thelocactus macdowellii,very_high
Rink's thelocactus,Thelocactus rinconensis,very_high
Glory of Texas,Thelocactus setispinus,very_high
Southern Shield Fern,Thelypteris kunthii,low
Black-eyed Susan Vine,Thunbergia alata,high
Clock vine,Thunbergia erecta,high
Sweet clock vine,Thunbergia fragrans,high
Orange clock vine,Thunbergia gregorii,high
White Thunia,Thunia alba,high
Lemon Thyme,Thymus citriodorus,very_high
Caraway Thyme,Thymus herba-barona,high
Creeping Thyme,Thymus serpyllum,very_high
Common Thyme,Thymus vulgaris,very_high
Air Carnation,Tillandsia aeranthos,high
White Air Plant,Tillandsia albida,high
Andre's Air Plant,Tillandsia andreana,high
Araujo's Air Plant,Tillandsia araujei,high
Bailey's Air Plant,Tillandsia baileyi,high
Reflexed Wild Pine,Tillandsia balbisiana,high
Berger's Air Plant,Tillandsia bergeri,high
Short-stem Air Plant,Tillandsia brachycaulos,high
Bulbous Air Plant,Tillandsia bulbosa,medium
Speckled Air Plant,Tillandsia butzii,medium
Capitata Air Plant,Tillandsia capitata,high
Medusa's Head,Tillandsia caput-medusae,high
Chiapas Air Plant,Tillandsia chiapensis,high
One-colored Air Plant,Tillandsia concolor,high
Pink Quill,Tillandsia cyanea,high
Twisted Air Plant,Tillandsia duratii,high
Dyer's Air Plant,Tillandsia dyeriana,medium
Ehlers' Air Plant,Tillandsia ehlersiana,high
Cardinal Air Plant,Tillandsia fasciculata,high
Fine-leaf Air Plant,Tillandsia filifolia,high
Fan Air Plant,Tillandsia flabellata,high
Funck's Air Plant,Tillandsia funckiana,high
Gardner's Air Plant,Tillandsia gardneri,medium
Twin-flowered Air Plant,Tillandsia geminiflora,medium
Harris' Air Plant,Tillandsia harrisii,high
Sky Plant,Tillandsia ionantha,high
Pleasant Air Plant,Tillandsia jucunda,high
Rush-leaf Air Plant,Tillandsia juncea,high
Kolb's Air Plant,Tillandsia kolbii,high
Magnus' Air Plant,Tillandsia magnusiana,high
Blue-flowered Air Plant,Tillandsia mallemontii,medium
Neglected Air Plant,Tillandsia neglecta,high
Chaffy Air Plant,Tillandsia paleacea,high
Fuzzywuzzy Air Plant,Tillandsia pruinosa,medium
False Bailey's Air Plant,Tillandsia pseudobaileyi,high
Ball Moss,Tillandsia recurvata,high
Schiede's Air Plant,Tillandsia schiedeana,high
One-sided Air Plant,Tillandsia secunda,high
Seler's Air Plant,Tillandsia seleriana,high
Southern Needleleaf,Tillandsia setacea,high
Shirley Temple Air Plant,Tillandsia streptophylla,high
Strict Air Plant,Tillandsia stricta,high
Snowball Air Plant,Tillandsia tectorum,very_high
Tricolor Air Plant,Tillandsia tricolor,high
Spanish Moss,Tillandsia usneoides,medium
Velvet Air Plant,Tillandsia velutina,high
King Air Plant,Tillandsia xerographica,high
Concave-leaf titanopsis,Titanopsis calcarea,very_high
Wart plant titanopsis,Titanopsis primosii,very_high
Jewel weed,Titanopsis schwantesii,very_high
Piggyback plant,Tolmiea menziesii,medium
Variegated Dancing Lady,Tolumnia variegata,high
Torenia (wishbone flower),Torenia fournieri,medium
Windmill Palm,Trachycarpus fortunei,high
Nanouk,Tradescantia albiflora 'Nanouk',high
Bubblegum Tradescantia,Tradescantia cerinthoides,high
Small-leaf Spiderwort,Tradescantia fluminensis,medium
Quicksilver Wandering Jew,Tradescantia fluminensis 'Quicksilver',medium
Tricolor Wandering Jew,Tradescantia fluminensis 'Tricolor',medium
Bridal Veil,Tradescantia multiflora,medium
Purple Heart,Tradescantia pallida,high
Cobweb Spiderwort,Tradescantia sillamontana,high
Wandering Jew / Boat Lily Trailing,Tradescantia spathacea,medium
Variegated Oyster Plant,Tradescantia spathacea 'Tricolor',medium
Virginia Spiderwort,Tradescantia virginiana,medium
Inch plant,Tradescantia zebrina,medium
Quadricolor Inch Plant,Tradescantia zebrina 'Quadricolor',medium
Lance's Mule-ear Orchid,Trichocentrum lanceanum,high
Armed Trichoglottis,Trichoglottis brachiata,high
Nasturtium,Tropaeolum majus,high
Lau's turbinicarpus,Turbinicarpus laui,very_high
Lophophora turbinicarpus,Turbinicarpus lophophoroides,very_high
Pseudomacrochele turbinicarpus,Turbinicarpus pseudomacrochele,very_high
Schwebs' turbinicarpus,Turbinicarpus schmiedickeanus,very_high
Valdez's turbinicarpus,Turbinicarpus valdezianus,very_high
Amazon Lily,Urceolina grandiflora,medium
Fairy aprons bladderwort,Utricularia sandersonii,high
Blueberry (patio),Vaccinium corymbosum,high
Cassie,Vachellia farnesiana,high
Vanda Orchid,Vanda coerulea,very_high
Sky-blue Vanda,Vanda coerulescens,very_high
Crested Vanda,Vanda cristata,high
Denison's Vanda,Vanda denisoniana,high
Lamellate Vanda,Vanda lamellata,very_high
Waling-waling,Vanda sanderiana,very_high
Checkered Vanda,Vanda tessellata,high
Three-colored Vanda,Vanda tricolor,high
Vanilla Orchid,Vanilla planifolia,medium
Forest lily,Veltheimia bracteata,medium
Sand lily,Veltheimia capensis,high
Trailing verbena,Verbena tenuisecta,high
Garden verbena,Verbena x hybrida,high
Horned violet (viola),Viola cornuta,high
Johnny jump-up,Viola tricolor,high
Garden Pansy,Viola wittrockiana,medium
Tarry Vriesea,Vriesea bituminosa,medium
Lobster Claw Vriesea,Vriesea carinata,medium
Netted Vriesea,Vriesea fenestralis,medium
Giant Vriesea,Vriesea gigantea,medium
King of Bromeliads,Vriesea hieroglyphica,medium
Ospina's Vriesea,Vriesea ospinae,medium
Racine's Vriesea,Vriesea racinae,medium
Silver Vriesea,Vriesea saundersii,medium
Flaming Sword,Vriesea splendens,medium
Superb Wittrockia,Wittrockia superba,medium
Foxtail Palm,Wodyetia bifurcata,high
Trident water jasmine / Wrightia,Wrightia religiosa,high
Tree ivy,x Fatshedera lizei,medium
Indian Kale,Xanthosoma lindenii,medium
Variegated Taro,Xanthosoma sagittifolium 'Albo-marginata',high
Blue Taro,Xanthosoma violaceum,medium
Joshua Tree Yucca,Yucca aloifolia,very_high
Spineless yucca,Yucca gigantea,high
Cardboard Palm,Zamia furfuracea,high
ZZ plant,Zamioculcas zamiifolia,low
Lucky ZZ Plant,Zamioculcas zamiifolia 'Lucky',low
Raven ZZ Plant,Zamioculcas zamiifolia 'Raven',low
Variegated ZZ Plant,Zamioculcas zamiifolia 'Variegata',low
Zenzi ZZ Plant,Zamioculcas zamiifolia 'Zenzi',low
Calla Lily,Zantedeschia aethiopica,high
Golden Calla,Zantedeschia elliottiana,medium
Ginger,Zingiber officinale,medium
Narrowleaf zinnia,Zinnia angustifolia,very_high
Common zinnia,Zinnia elegans,high
Mexican Zinnia,Zinnia haageana,high
Hybrid Zinnia,Zinnia marylandica,high
Mackay's Zygopetalum,Zygopetalum mackayi,medium
